"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"16","RT @jojoh888: Here's my non-political tweet for tonight, enjoy #ThursdayThoughts #Harvey #dogs <ed><U+00A0><U+00BD><ed><U+00B2><U+0096><ed><U+00A0><U+00BD><ed><U+00B0><U+00B6><ed><U+00A0><U+00BD><ed><U+00B2><U+0096><ed><U+00A0><U+00BD><ed><U+00B0><U+00B6><ed><U+00A0><U+00BD><ed><U+00B2><U+0096>

#JJNonPoliticalTweet https://t.co/FBC…",FALSE,0,NA,2017-09-15 04:26:34,FALSE,NA,"908547565716619264",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KimcheeCowboy",103,TRUE,FALSE,NA,NA
"17","RT @whitegirlsnude: check out <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> https://t.co/d8pHSBzpzP <ed><U+00A0><U+00BD><ed><U+00B1><U+0088>
#ThursdayThoughts
#thirsttrap
#ThursdayMotivation
#ThursdayTreat https://t.co/U37…",FALSE,0,NA,2017-09-15 04:26:32,FALSE,NA,"908547556958863360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vagrocks",8,TRUE,FALSE,NA,NA
"18","RT @Teach4SpclNeeds: Just...be...YOU! #JoyfulLeaders #ThursdayThoughts https://t.co/3C03yTfN1f",FALSE,0,NA,2017-09-15 04:26:30,FALSE,NA,"908547548385644545",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MrsBarnett_Tchr",39,TRUE,FALSE,NA,NA
"19","RT @NinetyFive_UK: If 100 people lived on Earth.
#ThursdayThoughts https://t.co/pZMAefKF6w",FALSE,0,NA,2017-09-15 04:26:26,FALSE,NA,"908547533596540928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Blue_Harvest",2386,TRUE,FALSE,NA,NA
"20","RT @KamVTV: 'We're looking to Tell the Real Story' :  This new movie is for veterans, by veterans 
#ThursdayThoughts #Veterans https://t.co…",FALSE,0,NA,2017-09-15 04:26:23,FALSE,NA,"908547520908771328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Livefree4today",176,TRUE,FALSE,NA,NA
"21","RT @TheRealBradLea: If You Really Want Success:
- Take action
- Stop making excuses
- Stop doubting yourself
#thursdaythoughts",FALSE,0,NA,2017-09-15 04:26:22,FALSE,NA,"908547516282552320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rjumpstartxp",146,TRUE,FALSE,NA,NA
"22","RT @mrjosephbonner: Surviving After A Natural Disaster - 6 Things That May Save Your Life  #HurricaneIrmaAftermath #ThursdayThoughts https:…",FALSE,0,NA,2017-09-15 04:26:21,FALSE,NA,"908547512050393088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TaylorGAgirl",602,TRUE,FALSE,NA,NA
"23","RT @mrjosephbonner: Surviving After A Natural Disaster - 6 Things That May Save Your Life  #HurricaneIrmaAftermath #ThursdayThoughts https:…",FALSE,0,NA,2017-09-15 04:26:20,FALSE,NA,"908547507541520385",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","seeklibj",602,TRUE,FALSE,NA,NA
"24","RT @mrjosephbonner: Surviving After A Natural Disaster - 6 Things That May Save Your Life  #HurricaneIrmaAftermath #ThursdayThoughts https:…",FALSE,0,NA,2017-09-15 04:26:19,FALSE,NA,"908547502789484545",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JENNERWalter",602,TRUE,FALSE,NA,NA
"25","RT @ReneeCarrollPhx: <ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>Navy SEAL Security, Bannon, And Ann Coulter Accompany Milo To Berkeley<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>

#ThursdayThoughts
https://t.co/zqbAuOcKDz vi…",FALSE,0,NA,2017-09-15 04:25:55,FALSE,NA,"908547403048873986",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mamoobonnie",430,TRUE,FALSE,NA,NA
